z,qc,fs,u2
0.01,0.01,0.0001,0.003
0.02,0.01,0.0001,0.004
0.03,0.01,0.0001,0.003
0.04,0.01,0.0001,0.004
0.05,0.01,0.0001,0.004
0.06,0,0.0001,0.004
0.07,0.01,0.0001,0.005
0.08,0.01,0.0001,0.005
0.09,0,0.0001,0.005
0.1,0.01,0.0002,0.005
0.11,0.02,0.0002,0.004
0.12,0.02,0.0002,0.005
0.13,0.01,0.0001,0.005
0.14,0.01,0.0002,0.005
0.15,0.02,0.0002,0.005
0.16,0.02,0.0002,0.007
0.17,0.01,0.0002,0.005
0.18,0.02,0.0002,0.007
0.19,0.02,0.0003,0.007
0.2,0.02,0.0002,0.007
0.21,0.02,0.0002,0.008
0.22,0.02,0.0003,0.008
0.23,0.02,0.0003,0.008
0.24,0.02,0.0003,0.009
0.25,0.03,0.0003,0.009
0.26,0.02,0.0005,0.011
0.27,0.02,0.0004,0.011
0.28,0.02,0.0005,0.012
0.29,0.03,0.0005,0.013
0.3,0.03,0.0005,0.013
0.31,0.03,0.0006,0.013
0.32,0.03,0.0006,0.015
0.33,0.03,0.0007,0.015
0.34,0.03,0.0007,0.015
0.35,0.03,0.0007,0.013
0.36,0.04,0.0009,0.016
0.37,0.04,0.0009,0.016
0.38,0.04,0.0009,0.016
0.39,0.04,0.0009,0.016
0.4,0.04,0.001,0.017
0.41,0.04,0.0011,0.017
0.42,0.04,0.0011,0.017
0.43,0.04,0.0012,0.019
0.44,0.04,0.0012,0.019
0.45,0.04,0.0012,0.02
0.46,0.04,0.0012,0.019
0.47,0.04,0.0013,0.019
0.48,0.04,0.0013,0.02
0.49,0.05,0.0013,0.02
0.5,0.05,0.0014,0.019
0.51,0.05,0.0014,0.02
0.52,0.04,0.0014,0.02
0.53,0.04,0.0014,0.02
0.54,0.05,0.0015,0.021
0.55,0.05,0.0016,0.023
0.56,0.04,0.0016,0.023
0.57,0.05,0.0016,0.023
0.58,0.05,0.0016,0.024
0.59,0.05,0.0016,0.024
0.6,0.05,0.0017,0.024
0.61,0.05,0.0017,0.024
0.62,0.05,0.0018,0.024
0.63,0.04,0.0017,0.024
0.64,0.04,0.0017,0.024
0.65,0.04,0.0017,0.027
0.66,0.05,0.0017,0.027
0.67,0.05,0.0018,0.027
0.68,0.05,0.0017,0.028
0.69,0.05,0.0018,0.028
0.7,0.05,0.0017,0.028
0.71,0.05,0.0017,0.028
0.72,0.05,0.0018,0.028
0.73,0.05,0.0017,0.028
0.74,0.05,0.0017,0.028
0.75,0.05,0.0017,0.029
0.76,0.05,0.0018,0.031
0.77,0.05,0.0017,0.031
0.78,0.05,0.0017,0.032
0.79,0.05,0.0017,0.032
0.8,0.05,0.0017,0.032
0.81,0.05,0.0017,0.032
0.82,0.05,0.0017,0.032
0.83,0.05,0.0017,0.032
0.84,0.06,0.0017,0.032
0.85,0.06,0.0017,0.033
0.86,0.06,0.0017,0.033
0.87,0.06,0.0017,0.033
0.88,0.06,0.0017,0.033
0.89,0.06,0.0017,0.033
0.9,0.06,0.0017,0.033
0.91,0.06,0.0017,0.033
0.92,0.06,0.0017,0.035
0.93,0.06,0.0017,0.035
0.94,0.06,0.0017,0.035
0.95,0.06,0.0017,0.036
0.96,0.06,0.0017,0.036
0.97,0.06,0.0017,0.036
0.98,0.06,0.0018,0.036
0.99,0.06,0.0018,0.036
1,0.06,0.0018,0.036
1.01,0.06,0.0018,0.037
1.02,0.07,0.0018,0.039
1.03,0.07,0.0019,0.039
1.04,0.07,0.0018,0.04
1.05,0.07,0.0019,0.04
1.06,0.07,0.0019,0.04
1.07,0.07,0.0019,0.04
1.08,0.07,0.0019,0.04
1.09,0.07,0.0018,0.04
1.1,0.07,0.0019,0.041
1.11,0.07,0.0019,0.041
1.12,0.07,0.002,0.041
1.13,0.07,0.002,0.041
1.14,0.08,0.0021,0.043
1.15,0.08,0.0021,0.043
1.16,0.08,0.0021,0.043
1.17,0.07,0.002,0.044
1.18,0.07,0.002,0.043
1.19,0.08,0.0021,0.044
1.2,0.08,0.0022,0.047
