z,qc,fs,u2
1.21,0.08,0.0022,0.048
1.22,0.08,0.0022,0.047
1.23,0.08,0.0022,0.047
1.24,0.08,0.0022,0.048
1.25,0.08,0.0021,0.048
1.26,0.08,0.0022,0.047
1.27,0.08,0.0022,0.047
1.28,0.08,0.0022,0.047
1.29,0.08,0.0023,0.048
1.3,0.08,0.0023,0.048
1.31,0.09,0.0022,0.049
1.32,0.09,0.0022,0.049
1.33,0.09,0.0023,0.049
1.34,0.09,0.0023,0.051
1.35,0.09,0.0023,0.051
1.36,0.08,0.0024,0.053
1.37,0.09,0.0024,0.053
1.38,0.09,0.0023,0.053
1.39,0.08,0.0023,0.053
1.4,0.08,0.0024,0.053
1.41,0.09,0.0025,0.053
1.42,0.08,0.0025,0.053
1.43,0.08,0.0025,0.053
1.44,0.09,0.0025,0.056
1.45,0.09,0.0025,0.056
1.46,0.08,0.0024,0.055
1.47,0.08,0.0025,0.055
1.48,0.08,0.0025,0.056
1.49,0.08,0.0025,0.056
1.5,0.09,0.0026,0.059
1.51,0.09,0.0026,0.059
1.52,0.09,0.0026,0.059
1.53,0.09,0.0026,0.059
1.54,0.09,0.0026,0.059
1.55,0.09,0.0027,0.061
1.56,0.1,0.0026,0.063
1.57,0.1,0.0026,0.063
1.58,0.1,0.0026,0.067
1.59,0.1,0.0026,0.067
1.6,0.11,0.0026,0.067
1.61,0.11,0.0026,0.068
1.62,0.11,0.0026,0.068
1.63,0.11,0.0027,0.065
1.64,0.11,0.0027,0.064
1.65,0.11,0.0026,0.065
1.66,0.11,0.0025,0.065
1.67,0.11,0.0026,0.067
1.68,0.11,0.0028,0.067
1.69,0.11,0.0028,0.067
1.7,0.11,0.0029,0.065
1.71,0.11,0.0029,0.065
1.72,0.11,0.0029,0.065
1.73,0.11,0.0029,0.067
1.74,0.11,0.003,0.067
1.75,0.11,0.0031,0.067
1.76,0.11,0.0031,0.067
1.77,0.11,0.003,0.067
1.78,0.11,0.0031,0.068
1.79,0.11,0.003,0.068
1.8,0.11,0.0031,0.068
1.81,0.11,0.0031,0.069
1.82,0.11,0.0031,0.069
1.83,0.11,0.0032,0.069
1.84,0.11,0.0032,0.069
1.85,0.12,0.0033,0.071
1.86,0.12,0.0033,0.069
1.87,0.12,0.0034,0.069
1.88,0.12,0.0033,0.069
1.89,0.12,0.0035,0.069
1.9,0.12,0.0034,0.071
1.91,0.12,0.0034,0.071
1.92,0.12,0.0035,0.072
1.93,0.12,0.0035,0.073
1.94,0.12,0.0034,0.073
1.95,0.12,0.0035,0.072
1.96,0.12,0.0035,0.073
1.97,0.12,0.0035,0.073
1.98,0.12,0.0035,0.073
1.99,0.12,0.0035,0.073
2,0.12,0.0034,0.073
2.01,0.12,0.0035,0.075
2.02,0.12,0.0036,0.075
2.03,0.12,0.0035,0.075
2.04,0.12,0.0036,0.076
2.05,0.12,0.0036,0.076
2.06,0.12,0.0036,0.076
2.07,0.12,0.0036,0.077
2.08,0.12,0.0036,0.077
2.09,0.12,0.0037,0.079
2.1,0.12,0.0037,0.079
2.11,0.12,0.0037,0.079
2.12,0.12,0.0036,0.081
2.13,0.12,0.0036,0.081
2.14,0.13,0.0036,0.081
2.15,0.13,0.0036,0.081
2.16,0.13,0.0036,0.081
2.17,0.13,0.0035,0.081
2.18,0.13,0.0035,0.081
2.19,0.14,0.0035,0.081
2.2,0.13,0.0036,0.081
2.21,0.14,0.0036,0.083
2.22,0.14,0.0036,0.083
2.23,0.14,0.0036,0.083
2.24,0.14,0.0035,0.084
2.25,0.14,0.0036,0.085
2.26,0.14,0.0036,0.085
2.27,0.13,0.0036,0.085
2.28,0.13,0.0036,0.085
2.29,0.13,0.0036,0.085
2.3,0.13,0.0036,0.085
2.31,0.13,0.0037,0.085
2.32,0.13,0.0037,0.087
2.33,0.13,0.0037,0.088
2.34,0.13,0.0039,0.091
2.35,0.13,0.0039,0.091
2.36,0.13,0.0039,0.093
2.37,0.13,0.0039,0.093
2.38,0.13,0.0039,0.096
2.39,0.13,0.0039,0.096
2.4,0.13,0.0039,0.097
2.41,0.13,0.004,0.1
2.42,0.14,0.0039,0.1
2.43,0.14,0.004,0.1
2.44,0.13,0.0039,0.1
2.45,0.13,0.0039,0.099
2.46,0.14,0.0039,0.096
2.47,0.14,0.0038,0.097
2.48,0.14,0.0038,0.099
2.49,0.14,0.0038,0.1
2.5,0.14,0.0038,0.102
2.51,0.14,0.0037,0.104
2.52,0.14,0.0037,0.106
2.53,0.14,0.0037,0.106
2.54,0.14,0.0037,0.109
2.55,0.15,0.0037,0.11
2.56,0.14,0.0038,0.113
2.57,0.15,0.0038,0.113
2.58,0.15,0.0035,0.101
2.59,0.15,0.0035,0.104
2.6,0.16,0.0035,0.105
2.61,0.16,0.0035,0.106
2.62,0.16,0.0035,0.102
2.63,0.16,0.0035,0.105
2.64,0.16,0.0034,0.108
2.65,0.16,0.0035,0.112
2.66,0.16,0.0034,0.112
2.67,0.16,0.0035,0.116
2.68,0.16,0.0035,0.116
2.69,0.16,0.0037,0.114
2.7,0.17,0.0037,0.116
2.71,0.17,0.0036,0.114
2.72,0.17,0.0036,0.117
2.73,0.18,0.0035,0.117
2.74,0.18,0.0035,0.124
2.75,0.2,0.0035,0.124
2.76,0.22,0.0035,0.129
2.77,0.24,0.0038,0.136
2.78,0.24,0.004,0.137
2.79,0.24,0.004,0.137
2.8,0.25,0.0042,0.095
2.81,0.25,0.004,0.097
2.82,0.24,0.0044,0.1
2.83,0.24,0.0044,0.1
2.84,0.24,0.0048,0.112
2.85,0.24,0.0052,0.1
2.86,0.24,0.0053,0.101
2.87,0.23,0.0053,0.1
2.88,0.23,0.0054,0.1
2.89,0.22,0.0054,0.1
2.9,0.22,0.0054,0.097
2.91,0.22,0.0054,0.101
2.92,0.2,0.0054,0.102
2.93,0.2,0.0054,0.102
2.94,0.2,0.0053,0.101
2.95,0.19,0.0052,0.101
2.96,0.19,0.0052,0.099
2.97,0.19,0.0052,0.099
2.98,0.18,0.0053,0.095
2.99,0.18,0.0051,0.101
3,0.18,0.0052,0.109
3.01,0.18,0.0052,0.109
3.02,0.17,0.0053,0.109
3.03,0.17,0.0055,0.11
3.04,0.16,0.0056,0.11
3.05,0.16,0.0056,0.11
3.06,0.16,0.0056,0.112
3.07,0.16,0.0054,0.116
3.08,0.16,0.0054,0.116
3.09,0.16,0.0052,0.113
3.1,0.16,0.0053,0.114
3.11,0.16,0.0052,0.117
3.12,0.16,0.0052,0.117
3.13,0.16,0.0049,0.117
3.14,0.16,0.0048,0.117
3.15,0.16,0.0046,0.118
3.16,0.16,0.0045,0.118
3.17,0.16,0.0045,0.118
3.18,0.16,0.0043,0.113
3.19,0.16,0.0041,0.113
3.2,0.16,0.004,0.112
3.21,0.15,0.0039,0.114
3.22,0.16,0.004,0.114
3.23,0.16,0.004,0.117
3.24,0.16,0.004,0.116
3.25,0.16,0.0039,0.116
3.26,0.16,0.0036,0.114
3.27,0.16,0.0037,0.114
3.28,0.16,0.0035,0.114
3.29,0.16,0.0035,0.118
3.3,0.16,0.0036,0.118
3.31,0.16,0.0037,0.12
3.32,0.16,0.0036,0.12
3.33,0.17,0.0036,0.118
3.34,0.17,0.0037,0.118
3.35,0.17,0.0035,0.113
3.36,0.17,0.0035,0.113
3.37,0.17,0.0034,0.116
3.38,0.17,0.0035,0.121
3.39,0.17,0.0035,0.121
3.4,0.17,0.0036,0.12
3.41,0.17,0.0035,0.12
3.42,0.17,0.0037,0.118
3.43,0.17,0.0039,0.12
3.44,0.18,0.0039,0.12
3.45,0.18,0.0041,0.121
3.46,0.18,0.0042,0.122
3.47,0.18,0.0042,0.122
3.48,0.18,0.0043,0.121
3.49,0.18,0.0043,0.121
3.5,0.18,0.0043,0.118
3.51,0.18,0.0044,0.12
3.52,0.18,0.0045,0.122
3.53,0.17,0.0046,0.122
3.54,0.17,0.0046,0.122
3.55,0.17,0.0046,0.122
3.56,0.17,0.0046,0.122
3.57,0.17,0.0046,0.122
3.58,0.17,0.0046,0.122
3.59,0.17,0.0046,0.124
3.6,0.17,0.0046,0.125
3.61,0.17,0.0046,0.125
3.62,0.17,0.0047,0.126
3.63,0.16,0.0048,0.124
3.64,0.17,0.0048,0.124
3.65,0.17,0.0048,0.126
3.66,0.17,0.0048,0.126
3.67,0.17,0.0048,0.128
3.68,0.18,0.0049,0.128
3.69,0.17,0.0047,0.125
3.7,0.17,0.0047,0.125
3.71,0.17,0.0046,0.126
3.72,0.18,0.0045,0.128
3.73,0.18,0.0044,0.126
3.74,0.18,0.0042,0.128
3.75,0.19,0.0042,0.128
3.76,0.18,0.0042,0.128
3.77,0.18,0.0042,0.133
3.78,0.19,0.0042,0.133
3.79,0.18,0.0042,0.129
3.8,0.19,0.0042,0.129
3.81,0.18,0.0041,0.129
3.82,0.19,0.0041,0.126
3.83,0.19,0.0041,0.128
3.84,0.19,0.0039,0.126
3.85,0.19,0.0039,0.133
3.86,0.2,0.004,0.132
3.87,0.2,0.004,0.132
3.88,0.19,0.0041,0.133
3.89,0.19,0.0042,0.136
3.9,0.19,0.0042,0.137
3.91,0.2,0.0042,0.138
3.92,0.2,0.0042,0.138
3.93,0.2,0.0042,0.141
3.94,0.2,0.0043,0.14
3.95,0.2,0.0042,0.14
3.96,0.19,0.0044,0.14
3.97,0.2,0.0045,0.141
3.98,0.2,0.0046,0.141
3.99,0.2,0.0047,0.14
4,0.2,0.0047,0.14
4.01,0.2,0.0047,0.14
4.02,0.2,0.0047,0.138
4.03,0.2,0.0049,0.138
4.04,0.19,0.0049,0.14
4.05,0.2,0.0049,0.14
4.06,0.2,0.005,0.142
4.07,0.2,0.005,0.144
4.08,0.2,0.0051,0.144
4.09,0.2,0.005,0.144
4.1,0.2,0.0051,0.142
4.11,0.2,0.0052,0.142
4.12,0.2,0.0053,0.142
4.13,0.2,0.0055,0.141
4.14,0.2,0.0054,0.141
4.15,0.2,0.0055,0.142
4.16,0.2,0.0056,0.144
4.17,0.2,0.0057,0.144
4.18,0.2,0.0057,0.149
4.19,0.2,0.0057,0.149
4.2,0.2,0.0057,0.15
4.21,0.2,0.0057,0.148
4.22,0.2,0.0057,0.148
4.23,0.2,0.0057,0.148
4.24,0.2,0.0057,0.146
4.25,0.19,0.0055,0.141
4.26,0.2,0.0054,0.136
4.27,0.19,0.0054,0.136
4.28,0.18,0.0054,0.129
4.29,0.19,0.0053,0.117
4.3,0.2,0.005,0.133
4.31,0.2,0.005,0.133
4.32,0.18,0.005,0.14
4.33,0.18,0.0049,0.142
4.34,0.18,0.0049,0.142
4.35,0.18,0.0047,0.146
4.36,0.18,0.0047,0.146
4.37,0.19,0.0046,0.148
4.38,0.19,0.0045,0.149
4.39,0.2,0.0046,0.149
4.4,0.19,0.0045,0.15
4.41,0.19,0.0044,0.15
4.42,0.19,0.0044,0.15
4.43,0.19,0.0043,0.15
4.44,0.19,0.0043,0.15
4.45,0.19,0.0042,0.148
4.46,0.18,0.0041,0.145
4.47,0.18,0.0042,0.146
4.48,0.19,0.0042,0.148
4.49,0.19,0.0042,0.148
4.5,0.19,0.0041,0.149
4.51,0.19,0.0042,0.148
4.52,0.19,0.0041,0.149
4.53,0.19,0.0041,0.149
4.54,0.19,0.0041,0.152
4.55,0.19,0.0042,0.153
4.56,0.19,0.0042,0.153
4.57,0.19,0.0039,0.157
4.58,0.18,0.0039,0.157
4.59,0.18,0.0038,0.156
4.61,0.19,0.0038,0.158
4.61,0.19,0.0038,0.157
4.62,0.19,0.0039,0.158
4.63,0.19,0.004,0.157
4.64,0.19,0.004,0.157
4.65,0.18,0.004,0.157
4.66,0.19,0.004,0.157
4.67,0.19,0.0041,0.157
4.68,0.19,0.0041,0.156
4.69,0.19,0.0041,0.153
4.7,0.19,0.0041,0.153
4.71,0.19,0.0041,0.153
4.72,0.19,0.0042,0.153
4.73,0.19,0.0042,0.153
4.74,0.19,0.0041,0.152
4.75,0.19,0.0042,0.152
4.76,0.19,0.0042,0.152
4.77,0.19,0.0042,0.152
4.78,0.19,0.0042,0.152
4.79,0.19,0.0043,0.153
4.8,0.19,0.0043,0.153
4.81,0.19,0.0043,0.15
4.82,0.19,0.0043,0.15
4.83,0.19,0.0043,0.149
4.84,0.19,0.0043,0.149
4.85,0.19,0.0044,0.149
4.86,0.19,0.0044,0.149
4.87,0.19,0.0044,0.149
4.88,0.2,0.0046,0.152
4.89,0.19,0.0045,0.15
4.9,0.19,0.0045,0.152
4.91,0.2,0.0045,0.152
4.92,0.19,0.0045,0.153
4.93,0.19,0.0045,0.154
4.94,0.2,0.0045,0.154
4.95,0.2,0.0045,0.154
4.96,0.2,0.0044,0.156
4.97,0.2,0.0045,0.156
4.98,0.2,0.0044,0.156
4.99,0.2,0.0045,0.156
5,0.2,0.0045,0.156
5.01,0.2,0.0045,0.153
5.02,0.2,0.0045,0.153
5.03,0.2,0.0045,0.154
5.04,0.2,0.0045,0.154
5.05,0.2,0.0045,0.154
5.06,0.2,0.0046,0.154
5.07,0.2,0.0046,0.156
5.08,0.2,0.0046,0.154
5.09,0.2,0.0046,0.154
5.1,0.2,0.0047,0.154
5.11,0.2,0.0046,0.154
5.12,0.2,0.0046,0.156
5.13,0.2,0.0044,0.156
5.14,0.2,0.0045,0.157
5.15,0.2,0.0046,0.156
5.16,0.2,0.0045,0.156
5.17,0.2,0.0045,0.157
5.18,0.2,0.0045,0.156
5.19,0.2,0.0045,0.158
5.2,0.2,0.0045,0.16
5.21,0.2,0.0046,0.16
5.22,0.2,0.0046,0.16
5.23,0.2,0.0047,0.16
5.24,0.21,0.0047,0.16
5.25,0.2,0.0046,0.16
5.26,0.2,0.0047,0.16
5.27,0.21,0.0046,0.161
5.28,0.21,0.0047,0.161
5.29,0.2,0.0047,0.161
5.3,0.2,0.0047,0.161
5.31,0.2,0.0047,0.161
5.32,0.21,0.0047,0.162
5.33,0.21,0.0048,0.161
5.34,0.21,0.0048,0.162
5.35,0.21,0.0048,0.162
5.36,0.21,0.0047,0.161
5.37,0.21,0.0048,0.164
5.38,0.2,0.0047,0.165
5.39,0.2,0.0047,0.165
5.4,0.21,0.0048,0.165
5.41,0.21,0.0049,0.164
5.42,0.21,0.0049,0.165
5.43,0.2,0.0048,0.165
5.44,0.2,0.0048,0.165
5.45,0.21,0.0048,0.165
5.46,0.21,0.0048,0.165
5.47,0.21,0.0047,0.164
5.48,0.21,0.0047,0.165
5.49,0.22,0.0047,0.165
5.5,0.22,0.0047,0.166
5.51,0.22,0.0047,0.168
5.52,0.22,0.005,0.166
5.53,0.22,0.005,0.166
5.54,0.22,0.005,0.166
5.55,0.22,0.005,0.165
5.56,0.22,0.005,0.165
5.57,0.22,0.0049,0.166
5.58,0.22,0.0049,0.169
5.59,0.22,0.0049,0.169
5.6,0.22,0.005,0.17
5.61,0.22,0.005,0.17
5.62,0.22,0.005,0.172
5.63,0.23,0.0051,0.173
5.64,0.22,0.0051,0.174
5.65,0.22,0.005,0.174
5.66,0.22,0.005,0.176
5.67,0.22,0.0048,0.174
5.68,0.22,0.0047,0.172
5.69,0.23,0.0049,0.176
5.7,0.23,0.0049,0.176
5.71,0.23,0.005,0.176
5.72,0.23,0.005,0.177
5.73,0.23,0.005,0.178
5.74,0.23,0.0051,0.176
5.75,0.23,0.005,0.176
5.76,0.23,0.0053,0.174
5.77,0.23,0.0053,0.176
5.78,0.23,0.0053,0.18
5.79,0.23,0.0052,0.18
5.8,0.23,0.0052,0.178
5.81,0.23,0.0052,0.176
5.82,0.23,0.0052,0.176
5.83,0.23,0.0051,0.177
5.84,0.23,0.0052,0.18
5.85,0.23,0.0053,0.181
5.86,0.23,0.0053,0.182
5.87,0.23,0.0052,0.182
5.88,0.23,0.0051,0.182
5.89,0.24,0.0051,0.184
5.9,0.24,0.0052,0.182
5.91,0.23,0.0052,0.184
5.92,0.23,0.0052,0.184
5.93,0.24,0.0051,0.185
5.94,0.24,0.0051,0.185
5.95,0.23,0.0052,0.184
5.96,0.23,0.0054,0.184
5.97,0.23,0.0054,0.184
5.98,0.23,0.0054,0.184
5.99,0.23,0.0054,0.184
6,0.24,0.0055,0.182
6.01,0.24,0.0055,0.185
6.02,0.23,0.0054,0.184
6.03,0.24,0.0053,0.186
6.04,0.24,0.0053,0.186
6.05,0.24,0.0053,0.186
6.06,0.24,0.0054,0.186
6.07,0.23,0.0054,0.188
6.08,0.23,0.0054,0.188
6.09,0.23,0.0053,0.186
6.1,0.23,0.0054,0.185
6.11,0.23,0.0053,0.185
6.12,0.23,0.0053,0.185
6.13,0.24,0.0053,0.186
6.14,0.24,0.0053,0.186
6.15,0.24,0.0052,0.181
6.16,0.24,0.0052,0.181
6.17,0.24,0.0051,0.18
6.18,0.25,0.0053,0.18
6.19,0.24,0.0053,0.189
6.2,0.24,0.0053,0.192
6.21,0.24,0.0053,0.19
6.22,0.24,0.0054,0.193
6.23,0.25,0.0054,0.192
6.24,0.25,0.0053,0.192
6.25,0.25,0.0053,0.193
6.26,0.25,0.0053,0.193
6.27,0.25,0.0053,0.193
6.28,0.25,0.0053,0.192
6.29,0.24,0.0053,0.192
6.3,0.24,0.0053,0.192
6.31,0.24,0.0053,0.192
6.32,0.24,0.0053,0.194
6.33,0.25,0.0055,0.196
6.34,0.25,0.0056,0.198
6.35,0.24,0.0055,0.198
6.36,0.24,0.0056,0.197
6.37,0.24,0.0056,0.194
6.38,0.24,0.0056,0.194
6.39,0.24,0.0055,0.196
6.4,0.25,0.0057,0.196
6.41,0.25,0.0057,0.2
6.42,0.25,0.0057,0.201
6.43,0.25,0.0057,0.201
6.44,0.25,0.0057,0.2
6.45,0.26,0.0058,0.19
6.46,0.25,0.0059,0.201
6.47,0.24,0.0058,0.201
6.48,0.24,0.0058,0.201
6.49,0.24,0.0057,0.202
6.5,0.25,0.0057,0.201
6.51,0.25,0.0058,0.201
6.52,0.25,0.0058,0.201
6.53,0.25,0.0059,0.2
6.54,0.26,0.0059,0.2
6.55,0.25,0.0059,0.202
6.56,0.25,0.0059,0.204
6.57,0.26,0.0059,0.204
6.58,0.26,0.0058,0.202
6.59,0.26,0.0058,0.2
6.6,0.25,0.0058,0.198
6.61,0.26,0.0059,0.198
6.62,0.26,0.0058,0.198
6.63,0.26,0.0059,0.202
6.64,0.26,0.0061,0.205
6.65,0.26,0.0061,0.205
6.66,0.25,0.0061,0.205
6.67,0.24,0.006,0.205
6.68,0.25,0.0059,0.204
6.69,0.26,0.006,0.204
6.7,0.26,0.006,0.206
6.71,0.26,0.0059,0.206
6.72,0.26,0.0057,0.208
6.73,0.26,0.0057,0.206
6.74,0.26,0.0058,0.206
6.75,0.26,0.006,0.208
6.76,0.26,0.006,0.208
6.77,0.26,0.006,0.208
6.78,0.26,0.006,0.208
6.79,0.26,0.006,0.208
6.8,0.26,0.006,0.21
6.81,0.26,0.006,0.21
6.82,0.26,0.006,0.21
6.83,0.26,0.006,0.212
6.84,0.27,0.0059,0.214
6.85,0.27,0.0057,0.213
6.86,0.28,0.0057,0.216
6.87,0.28,0.0057,0.214
6.88,0.28,0.0057,0.216
6.89,0.28,0.0057,0.218
6.9,0.27,0.0057,0.221
6.91,0.27,0.0057,0.22
6.92,0.26,0.006,0.22
6.93,0.27,0.0061,0.221
6.94,0.27,0.0062,0.221
6.95,0.28,0.0062,0.229
6.96,0.29,0.0062,0.229
6.97,0.31,0.0064,0.234
6.98,0.35,0.0064,0.237
6.99,0.35,0.0064,0.237
7,0.37,0.0064,0.234
7.01,0.37,0.0063,0.237
7.02,0.35,0.0059,0.152
7.03,0.33,0.0064,0.152
7.04,0.33,0.0065,0.044
7.05,0.3,0.0074,0.112
7.06,0.29,0.0079,0.162
7.07,0.28,0.0085,0.201
7.08,0.28,0.0083,0.224
7.09,0.28,0.0082,0.224
7.1,0.28,0.008,0.229
7.11,0.28,0.008,0.229
7.12,0.27,0.0076,0.23
7.13,0.27,0.0073,0.23
7.14,0.28,0.0073,0.23
7.15,0.28,0.0069,0.232
7.16,0.27,0.0069,0.232
7.17,0.28,0.0065,0.236
7.18,0.27,0.0065,0.236
7.19,0.27,0.0066,0.237
7.2,0.26,0.0064,0.236
7.21,0.27,0.0064,0.236
7.22,0.27,0.0066,0.232
7.23,0.27,0.0066,0.232
7.24,0.27,0.0064,0.232
7.25,0.28,0.0064,0.232
7.26,0.28,0.0062,0.232
7.27,0.28,0.0061,0.233
7.28,0.28,0.0061,0.233
7.29,0.28,0.0062,0.233
7.3,0.27,0.0061,0.233
7.31,0.28,0.0063,0.225
7.32,0.28,0.0064,0.23
7.33,0.28,0.0064,0.228
7.34,0.28,0.0065,0.229
7.35,0.28,0.0065,0.229
7.36,0.28,0.0065,0.228
7.37,0.28,0.0065,0.228
7.38,0.28,0.0065,0.228
7.39,0.28,0.0067,0.229
7.4,0.29,0.0067,0.229
7.41,0.29,0.0066,0.232
7.42,0.29,0.0065,0.234
7.43,0.29,0.0065,0.234
7.44,0.29,0.0065,0.232
7.45,0.28,0.0065,0.232
7.46,0.28,0.0064,0.229
7.47,0.28,0.0064,0.229
7.48,0.29,0.0064,0.228
7.49,0.29,0.0063,0.229
7.5,0.28,0.0063,0.232
7.51,0.29,0.0064,0.232
7.52,0.29,0.0063,0.233
7.53,0.29,0.0062,0.234
7.54,0.29,0.0062,0.234
7.55,0.29,0.0062,0.236
7.56,0.29,0.0064,0.234
7.57,0.29,0.0064,0.234
7.58,0.29,0.0064,0.233
7.59,0.29,0.0064,0.234
7.6,0.29,0.0064,0.234
7.61,0.29,0.0065,0.24
7.62,0.29,0.0065,0.24
7.63,0.29,0.0067,0.238
7.64,0.29,0.0067,0.238
7.65,0.29,0.0068,0.238
7.66,0.29,0.0068,0.238
7.67,0.29,0.0067,0.24
7.68,0.29,0.0067,0.24
7.69,0.29,0.0067,0.24
7.7,0.29,0.0068,0.24
7.71,0.29,0.0069,0.24
7.72,0.29,0.0069,0.24
7.73,0.3,0.0067,0.24
7.74,0.3,0.0066,0.242
7.75,0.29,0.0067,0.244
7.76,0.29,0.0067,0.244
7.77,0.29,0.0067,0.244
7.78,0.29,0.0067,0.241
7.79,0.29,0.0067,0.242
7.8,0.28,0.0067,0.245
7.81,0.28,0.0067,0.245
7.82,0.28,0.0067,0.244
7.83,0.29,0.0068,0.242
7.84,0.29,0.0067,0.242
7.85,0.29,0.0068,0.242
7.86,0.28,0.0068,0.242
7.87,0.29,0.0068,0.241
7.88,0.29,0.0068,0.241
7.89,0.3,0.0068,0.244
7.9,0.3,0.0067,0.244
7.91,0.3,0.0067,0.244
7.92,0.3,0.0068,0.246
7.93,0.31,0.0068,0.246
7.94,0.3,0.0066,0.246
7.95,0.3,0.0066,0.248
7.96,0.3,0.0066,0.248
7.97,0.3,0.0066,0.248
7.98,0.31,0.0067,0.245
7.99,0.31,0.0067,0.245
8,0.3,0.0066,0.245
8.01,0.31,0.0066,0.242
8.02,0.31,0.0067,0.245
8.03,0.31,0.0066,0.245
8.04,0.31,0.0066,0.246
8.05,0.31,0.0066,0.245
8.06,0.31,0.0066,0.244
8.07,0.31,0.0065,0.244
8.08,0.31,0.0066,0.244
8.09,0.31,0.0067,0.249
8.1,0.31,0.0067,0.25
8.11,0.31,0.0067,0.25
8.12,0.31,0.0067,0.253
8.13,0.31,0.0067,0.253
8.14,0.31,0.0068,0.253
8.15,0.31,0.0067,0.254
8.16,0.31,0.0067,0.254
8.17,0.31,0.0067,0.253
8.18,0.31,0.0068,0.256
8.19,0.31,0.0068,0.256
8.2,0.31,0.0068,0.257
8.21,0.31,0.0068,0.257
8.22,0.31,0.0067,0.257
8.23,0.31,0.0066,0.257
8.24,0.31,0.0068,0.258
8.25,0.31,0.0068,0.258
8.26,0.31,0.0069,0.26
