z,qc,fs,u2
0.01,0.01,0,0
0.02,0.01,0,0
0.03,0.01,0,0
0.04,0.01,0,0
0.05,0.01,0,0
0.06,0.01,0,0
0.07,0.02,0,0
0.08,0.02,0.0001,0
0.09,0.02,0.0001,0
0.1,0.02,0.0002,0.001
0.11,0.02,0.0002,0
0.12,0.02,0.0003,0
0.13,0.02,0.0003,0
0.14,0.02,0.0004,0.001
0.15,0.02,0.0003,0.001
0.16,0.02,0.0004,0.001
0.17,0.02,0.0004,0.001
0.18,0.03,0.0005,0.001
0.19,0.03,0.0005,0.001
0.2,0.03,0.0006,0.001
0.21,0.03,0.0006,0.001
0.22,0.03,0.0006,0.001
0.23,0.02,0.0007,0.001
0.24,0.02,0.0009,0.001
0.25,0.02,0.0009,0.003
0.26,0.03,0.0008,0.003
0.27,0.03,0.0008,0.003
0.28,0.03,0.0009,0.003
0.29,0.03,0.0009,0.003
0.3,0.03,0.0009,0.003
0.31,0.04,0.0009,0.004
0.32,0.03,0.0009,0.004
0.33,0.04,0.001,0.005
0.34,0.04,0.001,0.007
0.35,0.04,0.001,0.007
0.36,0.04,0.0011,0.007
0.37,0.04,0.0011,0.007
0.38,0.04,0.0011,0.008
0.39,0.04,0.0011,0.009
0.4,0.04,0.0012,0.009
0.41,0.04,0.0012,0.011
0.42,0.04,0.0014,0.011
0.43,0.04,0.0014,0.011
0.44,0.04,0.0015,0.011
0.45,0.04,0.0015,0.012
0.46,0.05,0.0016,0.013
0.47,0.05,0.0016,0.013
0.48,0.04,0.0015,0.013
0.49,0.05,0.0017,0.015
0.5,0.05,0.0017,0.015
0.51,0.05,0.0017,0.015
0.52,0.05,0.0017,0.015
0.53,0.05,0.0016,0.015
0.54,0.05,0.0016,0.015
0.55,0.04,0.0017,0.016
0.56,0.04,0.0017,0.016
0.57,0.05,0.0018,0.016
0.58,0.04,0.0016,0.017
0.59,0.04,0.0018,0.017
0.6,0.05,0.0018,0.017
0.61,0.05,0.0019,0.017
0.62,0.05,0.0018,0.019
0.63,0.05,0.0018,0.02
0.64,0.05,0.0019,0.02
0.65,0.05,0.0018,0.02
0.66,0.05,0.0018,0.02
0.67,0.04,0.0018,0.021
0.68,0.05,0.0017,0.021
0.69,0.05,0.0017,0.023
0.7,0.05,0.0017,0.023
0.71,0.05,0.0017,0.023
0.72,0.06,0.0017,0.024
0.73,0.06,0.0017,0.024
0.74,0.05,0.0016,0.024
0.75,0.05,0.0016,0.024
0.76,0.05,0.0016,0.024
0.77,0.06,0.0016,0.024
0.78,0.06,0.0016,0.024
0.79,0.06,0.0016,0.024
0.8,0.06,0.0016,0.025
0.81,0.06,0.0016,0.025
0.82,0.06,0.0016,0.025
0.83,0.06,0.0016,0.027
0.84,0.06,0.0016,0.025
0.85,0.06,0.0016,0.027
0.86,0.06,0.0016,0.027
0.87,0.05,0.0015,0.027
0.88,0.06,0.0016,0.028
0.89,0.06,0.0016,0.028
0.9,0.06,0.0016,0.029
0.91,0.06,0.0016,0.029
0.92,0.06,0.0016,0.029
0.93,0.06,0.0016,0.029
0.94,0.06,0.0015,0.031
0.95,0.06,0.0016,0.031
0.96,0.06,0.0016,0.031
0.97,0.06,0.0016,0.032
0.98,0.07,0.0016,0.032
0.99,0.07,0.0016,0.032
1,0.07,0.0016,0.033
1.01,0.07,0.0017,0.033
1.02,0.07,0.0017,0.035
1.03,0.07,0.0017,0.035
1.04,0.06,0.0017,0.035
1.05,0.07,0.0018,0.036
1.06,0.07,0.0017,0.036
1.07,0.07,0.0017,0.036
1.08,0.07,0.0018,0.036
1.09,0.07,0.0017,0.036
1.1,0.07,0.0017,0.037
1.12,0.07,0.0017,0.037
1.12,0.07,0.0017,0.037
1.13,0.07,0.0018,0.037
1.14,0.07,0.0018,0.039
1.15,0.08,0.0018,0.04
1.16,0.07,0.0018,0.04
1.17,0.07,0.0018,0.041
1.18,0.07,0.0019,0.041
1.19,0.07,0.0019,0.041
1.2,0.07,0.0019,0.041
1.21,0.08,0.0018,0.041
1.22,0.07,0.0018,0.043
1.23,0.08,0.0019,0.043
