       "MTD_base" "mission29_line028x"    83552.00   385661.00      21152109876480.00  938.7631
       "MTD_base" "mission29_line028x"    83552.00   385660.00      21162109876480.00  938.7641
       "MTD_base" "mission29_line028x"    83553.00   385659.00      21172109876480.00  938.7642
       "MTD_base" "mission29_line028x"    83553.00   385658.00      21182109876480.00  938.7643
       "MTD_base" "mission29_line028x"    83553.00   385658.00      21192109876480.00  938.7643
       "MTD_base" "mission29_line028x"    83554.00   385657.00      21202109876480.00  938.7641
       "MTD_base" "mission29_line028x"    83554.00   385656.00      21212109876480.00  938.7634
       "MTD_base" "mission29_line028x"    83554.00   385655.00      21222109876480.00  938.7618
       "MTD_base" "mission29_line028x"    83555.00   385654.00      21232109876480.00  938.7611
       "MTD_base" "mission29_line028x"    83555.00   385654.00      21242109876480.00  938.7610
       "MTD_base" "mission29_line028x"    83556.00   385653.00      21252109876480.00  938.7617
       "MTD_base" "mission29_line028x"    83556.00   385652.00      21262109876480.00  938.7630
       "MTD_base" "mission29_line028x"    83556.00   385651.00      21272109876480.00  938.7642
       "MTD_base" "mission29_line028x"    83557.00   385650.00      21282109876480.00  938.7645
       "MTD_base" "mission29_line028x"    83557.00   385650.00      21292109876480.00  938.7645
       "MTD_base" "mission29_line028x"    83557.00   385649.00      21302109876480.00  938.7642
       "MTD_base" "mission29_line028x"    83558.00   385648.00      21312109876480.00  938.7629
       "MTD_base" "mission29_line028x"    83558.00   385647.00      21322109876480.00  938.7612
       "MTD_base" "mission29_line028x"    83558.00   385646.00      21332109876480.00  938.7601
       "MTD_base" "mission29_line028x"    83559.00   385645.00      21342109876480.00  938.7598
       "MTD_base" "mission29_line028x"    83559.00   385645.00      21352109876480.00  938.7600
       "MTD_base" "mission29_line028x"    83560.00   385644.00      21362109876480.00  938.7610
       "MTD_base" "mission29_line028x"    83560.00   385643.00      21372109876480.00  938.7628
       "MTD_base" "mission29_line028x"    83560.00   385642.00      21382109876480.00  938.7642
       "MTD_base" "mission29_line028x"    83561.00   385641.00      21392109876480.00  938.7643
       "MTD_base" "mission29_line028x"    83561.00   385641.00      21402109876480.00  938.7642
       "MTD_base" "mission29_line028x"    83561.00   385640.00      21412109876480.00  938.7619
       "MTD_base" "mission29_line028x"    83562.00   385639.00      21422109876480.00  938.7590
       "MTD_base" "mission29_line028x"    83562.00   385638.00      21432109876480.00  938.7571
       "MTD_base" "mission29_line028x"    83562.00   385637.00      21442109876480.00  938.7561
       "MTD_base" "mission29_line028x"    83563.00   385637.00      21452109876480.00  938.7562
       "MTD_base" "mission29_line028x"    83563.00   385636.00      21462109876480.00  938.7510
       "MTD_base" "mission29_line028x"    83564.00   385635.00      21472109876480.00  938.7427
       "MTD_base" "mission29_line028x"    83564.00   385634.00      21482109876480.00  938.7343
       "MTD_base" "mission29_line028x"    83564.00   385633.00      21492109876480.00  938.7240
       "MTD_base" "mission29_line028x"    83565.00   385633.00      21502109876480.00  938.7119
       "MTD_base" "mission29_line028x"    83565.00   385632.00      21512109876480.00  938.6993
       "MTD_base" "mission29_line028x"    83565.00   385631.00      21522109876480.00  938.6858
       "MTD_base" "mission29_line028x"    83566.00   385630.00      21532109876480.00  938.6711
       "MTD_base" "mission29_line028x"    83566.00   385629.00      21542109876480.00  938.6553
       "MTD_base" "mission29_line028x"    83566.00   385628.00      21552109876480.00  938.6385
       "MTD_base" "mission29_line028x"    83567.00   385628.00      21562109876480.00  938.6177
       "MTD_base" "mission29_line028x"    83567.00   385627.00      21572109876480.00  938.5966
       "MTD_base" "mission29_line028x"    83568.00   385626.00      21582109876480.00  938.5768
       "MTD_base" "mission29_line028x"    83568.00   385625.00      21592109876480.00  938.5577
       "MTD_base" "mission29_line028x"    83568.00   385624.00      21602109876480.00  938.5402
       "MTD_base" "mission29_line028x"    83569.00   385624.00      21612109876480.00  938.5254
       "MTD_base" "mission29_line028x"    83569.00   385623.00      21622109876480.00  938.5099
       "MTD_base" "mission29_line028x"    83569.00   385622.00      21632109876480.00  938.4930
       "MTD_base" "mission29_line028x"    83570.00   385621.00      21642109876480.00  938.4750
       "MTD_base" "mission29_line028x"    83570.00   385620.00      21652109876480.00  938.4553
       "MTD_base" "mission29_line028x"    83570.00   385620.00      21662109876480.00  938.4344
       "MTD_base" "mission29_line028x"    83571.00   385619.00      21672109876480.00  938.4146
       "MTD_base" "mission29_line028x"    83571.00   385618.00      21682109876480.00  938.3959
       "MTD_base" "mission29_line028x"    83572.00   385617.00      21692109876480.00  938.3784
       "MTD_base" "mission29_line028x"    83572.00   385616.00      21702109876480.00  938.3618
       "MTD_base" "mission29_line028x"    83572.00   385615.00      21712109876480.00  938.3474
       "MTD_base" "mission29_line028x"    83573.00   385615.00      21722109876480.00  938.3323
       "MTD_base" "mission29_line028x"    83573.00   385614.00      21732109876480.00  938.3149
       "MTD_base" "mission29_line028x"    83573.00   385613.00      21742109876480.00  938.2953
       "MTD_base" "mission29_line028x"    83574.00   385612.00      21752109876480.00  938.2740
       "MTD_base" "mission29_line028x"    83574.00   385611.00      21762109876480.00  938.2734
       "MTD_base" "mission29_line028x"    83574.00   385611.00      21772109876480.00  938.2748
       "MTD_base" "mission29_line028x"    83575.00   385610.00      21782109876480.00  938.2776
